"","Species","Min","1stQ","Median","Mean","3rdQ","Max"
"1","Venus verrucosa","9.73","12.09","13.18","14.49","17.22","24.6"
"2","Venerupis corrugata","9.71","10.78","12.04","11.65","12.15","23.07"
"3","Valamugil seheli","19.01","26.13","27.47","27.15","28.64","29.87"
"4","Umbrina cirrosa","13.86","18.94","26.65","23.97","27.65","29.18"
"5","Turbo setosus","23.14","26.11","27.77","27.51","28.69","29.79"
"6","Turbo cornutus","17.55","17.61","21.08","21.51","24.71","27.1"
"7","Tridacna squamosa","24.29","28.06","28.72","28.42","29.13","29.92"
"8","Tridacna maxima","9.43","25.5","28.01","27.37","28.77","29.81"
"9","Tridacna gigas","25.09","26.45","28.64","28.06","29.27","29.79"
"10","Tridacna derasa","4.12","25.28","27.29","26.99","29.18","29.48"
"11","Tridacna crocea","23.95","28.47","29.18","28.66","29.22","29.81"
"12","Tresus nuttallii","9.63","11.62","13.61","13.61","15.59","17.58"
"13","Trachurus japonicus","9.28","20.71","22.72","22.35","23.83","27.29"
"14","Trachinotus ovatus","10.29","21.39","26.14","24.56","27.64","28.06"
"15","Trachinotus carolinus","7.51","22.32","23.62","23.02","24.23","28.93"
"16","Trachinotus blochii","8.73","25.51","26.91","26.36","27.78","30.11"
"17","Thunnus thynnus","5.99","16.34","18.89","20.25","25.92","28.69"
"18","Thunnus orientalis","6.37","23.48","24.42","24.3","26.17","29"
"19","Thunnus maccoyii","7.89","18.57","19.65","19.8","21.08","28.49"
"20","Thunnus albacares","8.67","23.71","26.12","24.7","27.45","29.8"
"21","Thenus orientalis","23.31","27","27.04","27.3","27.88","29.66"
"22","Tegillarca granosa","20.35","27.78","28.5","27.78","28.54","29.79"
"23","Takifugu rubripes","10","18.02","19.73","19.91","22.57","26.01"
"24","Symphysanodon berryi","23.19","27.52","27.8","27.41","27.96","28.68"
"25","Strombus gigas","18.56","28.11","28.11","27.91","28.12","28.89"
"26","Sparus aurata","10.37","17.93","18.94","18.89","20.32","27.04"
"27","Sparidentex hasta","27.04","27.68","28.32","27.98","28.39","28.39"
"28","Solea solea","8.14","11.4","11.93","11.96","12.38","28.28"
"29","Solea senegalensis","18.99","20.38","20.47","21.96","27.14",NA
"30","Sinonovacula constricta","20.41","20.41","20.41","20.41","20.41",NA
"31","Siganus sutor","18.27","24.66","27.25","25.98","27.25","29.27"
"32","Siganus rivulatus","15.34","23.01","23.05","23.94","24.48","29.97"
"33","Siganus lineatus","23.06","26.15","28.11","27.55","29.15","29.8"
"34","Siganus javus","20.29","27.68","28.63","28.27","29.23","29.66"
"35","Siganus fuscescens","16.25","25.59","26.3","26.1","27.37","29.87"
"36","Siganus canaliculatus","22.26","27","27.25","27.28","27.79","29.87"
"37","Seriola rivoliana","11.63","25.97","27.72","26.88","28.28","29.8"
"38","Seriola lalandi","8.71","17.19","17.86","17.84","17.86","29.07"
"39","Seriola dumerili","8.74","24.07","26.14","25.14","26.89","29.5"
"40","Sepia officinalis","9.78","12.69","17.68","16.94","19.89","29.15"
"41","Sebastes schlegelii","7.52","7.77","13.49","12.4","15.27","19.52"
"42","Scylla serrata","17.21","20.78","23.16","23.3","26.12","29.79"
"43","Scrobicularia plana","4.5","12.12","14.72","13.56","14.73","26.29"
"44","Scophthalmus rhombus","4.75","10.41","11.59","11.42","11.88","22.03"
"45","Scophthalmus maximus","6.57","10.06","10.47","10.73","11.44","20.31"
"46","Scomber japonicus","3.72","16.53","17.19","16.88","18.52","29.31"
"47","Sciaenops ocellatus","13.01","23.99","24.05","24.1","24.2","27.73"
"48","Sciaena umbra","12.47","17.8","18.79","21.22","26.75","29.18"
"49","Schedophilus ovalis","11.52","17.23","18.67","18.66","19.87","26.52"
"50","Scapharca cornea","17.32","17.56","18.81","17.57","29.2",NA
"51","Saxidomus gigantea","6.67","9.51","9.83","9.839","9.925","20.67"
"52","Salvelinus alpinus","-1.57","-0.53","-0.05","0.4301","0.87","13.61"
"53","Salmo trutta","4.7","11.88","11.88","11.26","11.88","20.31"
"54","Salmo salar","0","5.79","7.01","7.905","9.95","24.11"
"55","Saccostrea cuccullata","17.18","27.25","27.25","27.01","27.25","29.81"
"56","Ruditapes philippinarum","8.24","10.89","11.57","13.19","15.09","28.91"
"57","Ruditapes decussatus","7.24","10.85","12.6","13.79","16.69","21.21"
"58","Rhabdosargus sarba","15.08","20.21","20.41","21.1","21.28","29.97"
"59","Rachycentron canadum","10.75","23.09","25.35","24.45","27.32","29.86"
"60","Pyura stolonifera","13.79","15.75","18.24","18.43","20.36","26.45"
"61","Pteria penguin","21.39","26.96","28.04","27.49","28.84","29.83"
"62","Pseudocaranx dentex","7.89","16.75","17.42","18.3","20.42","28.7"
"63","Psammoperca waigiensis","20.14","25.55","27.43","26.77","28.5","29.79"
"64","Portunus trituberculatus","10.26","14.47","16.26","16.52","17.87","29.12"
"65","Portunus pelagicus","15.65","20.55","24.29","24.11","27.08","29.44"
"66","Pomatomus saltatrix","7.93","16.53","16.86","17.9","19.07","29.18"
"67","Polydactylus sexfilis","22.26","25.51","27.63","27.1","28.41","29.31"
"68","Pollachius pollachius","8.18","10.56","11.88","11.55","12.06","16.65"
"69","Pleurogrammus azonus","9.922","13.955","13.264","16.91","18.68",NA
"70","Plectropomus maculatus","20.78","25.75","25.75","25.9","25.75","29.8"
"71","Platichthys flesus","1.41","9.89","10.23","10.5","11.37","27.78"
"72","Platax orbicularis","16.9","26.45","27.61","27.2","28.56","29.98"
